"","Price","Days_on_Market","Number_of_Bedrooms","Number_of_Bathrooms","Building_Type","Rental_Size","Pet_Friendliness"
"802",2900,212,2,2,"Apartment",960,"Limited"
"804",2975,212,2,1,"Apartment",850,"Limited"
"805",1675,212,1,1,"Apartment",1000,"Yes"
"809",2000,212,1,1,"Apartment",500,"Yes"
"810",1800,212,1,1,"Apartment",500,"Yes"
"814",2400,212,2,1,"Apartment",900,"Limited"
"816",2550,212,2,1,"Apartment",900,"No"
"817",3600,212,2,1,"Apartment",1300,"No"
"818",2550,212,2,1,"Apartment",800,"No"
"822",3400,212,2,1,"Apartment",831,"Yes"
"823",2100,212,0,1,"Apartment",500,"Yes"
"825",2000,212,1,1,"Apartment",700,"Limited"
"826",2800,212,1,1,"Condo",665,"No"
"827",2900,212,2,1,"Apartment",700,"Yes"
"828",1500,212,0,1,"Apartment",1,"No"
"830",2639,210,2,1,"Apartment",994,"No"
"832",2519,210,1,1,"Apartment",738,"No"
"835",2400,212,2,1,"Apartment",800,"No"
"838",4000,212,4,1.5,"Duplex/Triplex",1000,"Yes"
"839",2850,212,2,1,"Apartment",950,"Yes"
"840",1850,212,1,1,"Basement",950,"No"
"841",1900,212,1,1,"Apartment",825,"Yes"
"842",2200,212,2,1,"Apartment",700,"No"
"844",2200,212,1,1,"Apartment",700,"Yes"
"845",1850,212,0,1,"Apartment",550,"Yes"
"847",2600,212,2,1,"Apartment",975,"Limited"
"848",2500,212,2,1,"Duplex/Triplex",800,"No"
"850",2600,212,2,1,"Apartment",700,"No"
"851",2850,212,2,1,"Apartment",750,"Yes"
"852",1850,212,0,1,"Apartment",550,"Yes"
"853",2850,212,2,1,"Apartment",981,"Yes"
"854",2450,212,1,1,"Apartment",715,"Yes"
"855",2450,212,1,1,"Apartment",660,"Limited"
"858",2100,212,2,1,"Basement",700,"Limited"
"859",3199,212,2,2,"Condo",763,"Yes"
"860",2800,212,2,1,"Apartment",1200,"No"
"861",2395,212,1,1,"Apartment",600,"No"
"862",2395,212,2,2,"Apartment",600,"Limited"
"863",2750,212,2,2,"Apartment",900,"Limited"
"868",2412,212,1,1,"Apartment",632,"No"
"869",2744,212,2,1,"Apartment",919,"No"
"870",2500,212,1,1,"Apartment",679,"Yes"
"871",2359,212,1,1,"Apartment",325,"Yes"
"872",2347,212,1,1,"Apartment",691,"No"
"873",2174,212,1,1,"Apartment",657,"No"
"874",2850,212,2,1,"Apartment",900,"No"
"875",2519,210,1,1,"Apartment",738,"No"
"877",2200,219,1,1,"Apartment",529,"Yes"
"880",2925,221,2,1,"Apartment",830,"Yes"
"881",2679,212,2,1,"Apartment",932,"Yes"
"882",2729,212,2,1,"Apartment",883,"No"
"883",1500,212,0,1,"Apartment",500,"No"
"884",2142,212,0,1,"Apartment",393,"No"
"885",2000,212,1,1,"Apartment",472,"Yes"
"886",2263,212,1,1,"Apartment",696,"No"
"887",2040,212,1,1,"Apartment",404,"No"
"888",2500,212,2,1,"Apartment",529,"Yes"
"889",2680,212,2,1,"Apartment",910,"Yes"
"890",2640,212,2,1,"Apartment",791,"Limited"
"891",1949,212,0,1,"Apartment",386,"No"
"892",2852,212,2,1,"Apartment",930,"No"
"893",1700,212,1,1,"Basement",470,"No"
"894",3000,212,2,1,"Duplex/Triplex",1100,"Limited"
"896",1950,212,0,1,"Condo",330,"Limited"
"897",2600,212,2,1.5,"Condo",934,"Limited"
"903",2500,212,2,1,"Apartment",800,"Limited"
"904",2200,212,2,1,"Apartment",800,"Limited"
"905",1850,212,0,1,"Apartment",225,"Limited"
"906",2200,212,1,1,"Apartment",700,"Limited"
"907",1750,212,1,1,"Apartment",190,"Yes"
"908",1850,212,1,1,"Basement",650,"Limited"
"914",2625,212,1,1,"Apartment",659,"Yes"
"915",2565,212,1,1,"Apartment",530,"Yes"
"916",2500,212,2,1,"Basement",1400,"No"
"917",2600,212,2,1,"Apartment",850,"Limited"
"918",2397,212,1,1,"Apartment",705,"No"
"919",1850,212,1,1,"Apartment",750,"No"
"920",2069,210,0,1,"Apartment",411,"Yes"
"922",2699,224,2,1,"Apartment",986,"Yes"
"924",1895,210,1,1,"Apartment",470,"Limited"
"927",2000,212,2,1,"Basement",650,"Limited"
"928",1950,212,1,1,"House",850,"Limited"
"931",2008,212,0,1,"Apartment",378,"No"
"934",1500,212,1,1,"Apartment",650,"No"
"935",2019,212,0,1,"Apartment",710,"Yes"
"936",2219,212,1,1,"Apartment",747,"Yes"
"937",2399,212,1,1,"Apartment",470,"No"
"938",2299,212,1,1,"Apartment",710,"Yes"
"944",1500,213,0,1,"Apartment",300,"Limited"
"948",1550,213,0,1,"Apartment",550,"Yes"
"951",2300,213,2,1,"Basement",850,"Limited"
"953",2850,213,2,1,"Apartment",820,"Yes"
"954",2300,213,1,1,"Apartment",675,"Yes"
"956",1600,213,1,1,"Basement",900,"No"
"958",2485,213,2,1,"Apartment",680,"Limited"
"959",2650,213,2,1,"House",1000,"Limited"
"961",3295,213,3,1,"Apartment",800,"Yes"
"963",1500,213,1,1,"Apartment",500,"Yes"
"964",2850,213,1,1,"Apartment",700,"Limited"
"965",2300,213,2,1,"House",800,"No"
"967",1900,210,1,1,"Basement",750,"No"
"969",2819,228,1,1,"Apartment",689,"Yes"
"974",1899,213,0,1,"Apartment",391,"No"
"975",2049,213,1,1,"Apartment",356,"No"
"976",1900,213,1,1,"Apartment",700,"Limited"
"977",2224,213,1,1,"Apartment",571,"No"
"979",2975,213,2,1,"Apartment",850,"Yes"
"981",2900,213,3,1,"House",1000,"No"
"982",1995,213,1,1,"Basement",650,"Limited"
"983",1700,213,2,1,"Basement",900,"No"
"987",2300,213,2,1,"Apartment",700,"Yes"
"988",3800,213,1,1,"Apartment",700,"Yes"
"990",1550,213,1,1,"Apartment",950,"No"
"992",1950,213,1,1,"Apartment",550,"Yes"
"994",1800,213,1,1,"Basement",600,"No"
"995",2869,213,3,1,"Apartment",1059,"No"
"996",2195,213,2,1,"Basement",1200,"No"
"1000",2000,213,1,1,"Apartment",750,"Yes"
"1001",1750,213,1,1,"Basement",700,"Limited"
"1003",2089,213,1,1,"Apartment",710,"Yes"
"1004",1950,213,1,1,"Basement",550,"Yes"
"1005",2000,213,0,1,"Apartment",450,"Yes"
"1006",2000,213,1,1,"Apartment",555,"Yes"
"1007",2350,213,1,1,"Apartment",1000,"Yes"
"1008",2100,213,1,1,"Apartment",900,"Yes"
"1009",2189,213,1,1,"Apartment",600,"Yes"
"1010",2800,213,2,2,"Apartment",950,"No"
"1011",1700,213,0,1,"Apartment",595,"Yes"
"1012",2287,211,1,1,"Apartment",555,"Yes"
"1016",2297,211,1,1,"Apartment",758,"No"
"1018",2389,213,2,1,"Apartment",940,"Yes"
"1019",1700,213,0,1,"Apartment",450,"No"
"1020",1925,213,1,1,"Apartment",672,"Limited"
"1021",2250,213,2,1,"Apartment",850,"Limited"
"1022",2500,213,1,1,"Apartment",555,"No"
"1023",1700,213,1,1,"Basement",700,"No"
"1025",2350,213,2,1,"Apartment",769,"Yes"
"1026",2597,213,2,2,"Townhouse",1044,"Yes"
"1027",1700,213,0,1,"Apartment",650,"No"
"1029",2100,213,1,1,"Apartment",555,"Yes"
"1030",2150,213,1,1,"Apartment",700,"Yes"
"1032",1750,213,0,1,"Apartment",330,"Yes"
"1033",2975,213,3,1,"Apartment",1200,"Yes"
"1034",1995,213,1,1,"Apartment",600,"Yes"
"1035",1750,213,1,1,"Apartment",663,"Yes"
"1038",2095,213,1,1,"Apartment",1,"Limited"
"1039",2592,213,2,1,"Apartment",867,"No"
"1040",1950,213,1,1,"Apartment",673,"Yes"
"1043",2050,213,1,1,"Apartment",472,"Yes"
"1045",3100,213,3,1,"Apartment",1400,"Yes"
"1046",1600,213,1,1,"Apartment",700,"No"
"1049",1750,213,1,1,"Apartment",650,"No"
"1052",2195,213,2,1,"Basement",800,"No"
"1053",1799,213,2,1,"Apartment",500,"No"
"1054",2649,213,2,1,"Apartment",704,"No"
"1056",2569,213,1,1,"Apartment",595,"No"
"1058",2519,218,1,1,"Apartment",665,"Limited"
"1059",2300,218,1,1,"Apartment",680,"Yes"
"1064",2000,213,2,1,"Apartment",750,"No"
"1065",1898,213,0,1,"Apartment",519,"No"
"1066",2275,213,1,1,"Apartment",697,"No"
"1067",2725,213,2,1,"Apartment",701,"No"
"1068",2200,213,1,1,"House",700,"No"
"1069",2500,213,1,1,"Apartment",590,"Yes"
"1070",2575,213,1,1,"Apartment",640,"Yes"
"1071",2399,213,1,1,"Apartment",650,"Yes"
"1072",2325,213,1,1,"Apartment",772,"Yes"
"1073",2275,213,1,1,"Apartment",430,"Limited"
"1074",2150,213,0,1,"Apartment",500,"Yes"
"1075",2300,213,1,1,"Apartment",679,"Yes"
"1076",1900,213,0,1,"Apartment",500,"Yes"
"1079",2400,213,2,1,"Apartment",600,"No"
"1084",2650,213,1,1,"Apartment",548,"No"
"1085",2600,213,2,1,"Apartment",1000,"Limited"
"1087",1950,213,1,1,"Apartment",600,"Yes"
"1088",1895,213,1,1,"Basement",1100,"No"
"1089",2500,213,1,1,"Condo",628,"No"
"1091",1800,213,2,1,"Apartment",450,"No"
"1096",1900,213,0,1,"Apartment",450,"Yes"
"1097",1850,213,1,1,"Apartment",600,"Limited"
"1098",2350,213,2,2,"Basement",800,"No"
"1104",2819,221,2,1,"Apartment",904,"Yes"
"1106",3145,231,2,2,"Apartment",1049,"Yes"
"1107",2285,210,1,1,"Apartment",625,"Yes"
"1112",2400,213,1,1,"Apartment",713,"Yes"
"1113",3500,213,1,1,"Apartment",608,"Yes"
"1114",2200,213,1,1,"Apartment",742,"Yes"
"1124",1800,213,1,1,"Basement",2,"No"
"1125",3850,213,3,2,"House",1200,"Limited"
"1128",2874,213,2,2,"Apartment",881,"Yes"
"1129",1750,213,0,1,"Basement",1000,"Yes"
"1132",2400,213,1,1,"Apartment",575,"No"
"1134",2000,213,2,1,"Basement",1000,"No"
"1135",1900,213,1,1,"Apartment",500,"No"
"1138",1500,213,2,1,"Condo",800,"No"
"1142",2819,213,2,1,"Apartment",904,"Limited"
"1148",2800,213,3,2,"Apartment",1214,"No"
"1151",3145,231,2,2,"Apartment",1049,"Yes"
"1153",2000,217,0,1,"Apartment",460,"Yes"
"1155",1900,213,1,1,"Apartment",682,"No"
"1160",2300,214,2,1,"House",800,"Yes"
"1166",2000,214,2,1,"Basement",1000,"No"
"1169",2100,214,2,1,"Basement",750,"No"
"1170",2200,214,1,1,"Apartment",750,"Limited"
"1171",2800,214,1,1,"House",1200,"No"
"1173",1700,214,0,1,"Basement",600,"Limited"
"1174",1850,214,1,1,"Basement",950,"No"
"1175",1700,214,2,1,"Basement",1100,"No"
"1178",1350,214,2,2,"Basement",1100,"No"
"1183",2500,214,2,2,"Basement",1300,"No"
"1184",2000,214,1,1,"Condo",470,"Yes"
"1186",3500,214,3,2,"House",1100,"No"
"1187",1200,214,1,1,"Basement",1000,"Yes"
"1188",1550,214,2,1,"Apartment",600,"No"
"1189",2800,214,2,1,"Basement",1100,"No"
"1192",2300,214,2,1,"Apartment",700,"No"
"1194",2000,214,1,1,"Apartment",600,"No"
"1197",2899,220,2,1,"Apartment",950,"Yes"
"1199",1995,210,0,1,"Apartment",520,"Limited"
"1201",2250,214,2,1,"Basement",1000,"No"
"1204",1950,214,1,1,"Apartment",1600,"No"
"1206",1550,214,0,1,"Apartment",250,"No"
"1210",1450,214,1,1,"Apartment",1,"No"
"1213",1690,214,1,1,"Apartment",550,"Yes"
"1221",1500,214,1,1,"Basement",1000,"No"
"1224",1550,214,1,1,"Basement",9999,"No"
"1227",2540,214,1,1,"Apartment",513,"Yes"
"1233",1950,214,1,1,"House",850,"Limited"
"1234",2200,214,2,1,"Apartment",800,"No"
"1235",1800,214,1,1,"Condo",800,"Limited"
"1237",1250,214,1,1,"Apartment",1,"No"
"1238",1600,214,0,1,"Basement",700,"Limited"
"1240",1700,214,0,1,"Basement",600,"Limited"
"1241",2295,210,1,1,"Apartment",680,"Yes"
"1242",2699,224,1,1,"Apartment",986,"Yes"
"1243",1999,211,0,1,"Apartment",500,"No"
"1245",3145,231,2,2,"Apartment",1049,"Yes"
"1251",1595,214,1,1,"Apartment",500,"No"
"1252",2000,214,2,1,"Basement",900,"No"
"1253",2000,214,0,1,"Apartment",500,"Yes"
"1254",2400,214,1,1,"Apartment",589,"Yes"
"1259",1400,214,0,1,"Apartment",600,"No"
"1260",1300,214,1,1,"Basement",200,"No"
"1267",1699,214,1,1,"Basement",650,"No"
"1268",2149,214,1,1,"Apartment",650,"Yes"
"1269",3347,214,2,1,"Apartment",900,"Yes"
"1270",3347,214,2,1,"Apartment",900,"Yes"
"1271",2349,214,1,1,"Apartment",602,"Yes"
"1272",2939,214,2,1,"Apartment",944,"Yes"
"1273",1949,214,0,1,"Apartment",387,"Yes"
"1274",2519,214,1,1,"Apartment",689,"Yes"
"1276",1929,214,0,1,"Apartment",351,"Yes"
"1279",2175,214,1,1,"Apartment",490,"Yes"
"1280",2359,214,1,1,"Apartment",589,"Yes"
"1281",1925,214,0,1,"Apartment",365,"Yes"
"1289",1895,210,0,1,"Apartment",325,"Yes"
"1290",2819,221,2,1,"Apartment",904,"Yes"
"1292",2069,210,0,1,"Apartment",411,"Yes"
"1293",2200,215,2,1,"Basement",900,"No"
"1294",2695,215,1,1,"Apartment",800,"No"
"1296",3300,215,2,2,"Apartment",800,"No"
"1297",2400,215,2,1,"Basement",650,"Limited"
"1299",450,215,2,2,"Basement",1200,"No"
"1300",1200,215,1,1,"Basement",600,"Limited"
"1301",2100,215,2,1,"Basement",900,"No"
"1303",2700,215,2,1,"Apartment",815,"No"
"1304",1950,215,1,1,"Apartment",615,"No"
"1306",1890,215,1,1,"Apartment",350,"No"
"1311",1700,215,1,1,"Apartment",750,"Limited"
"1313",2200,215,2,2,"Basement",1000,"No"
"1314",2950,215,2,2,"Apartment",755,"No"
"1315",2395,215,1,1,"Apartment",618,"Yes"
"1316",3149,215,2,1,"Apartment",899,"Limited"
"1321",2150,215,0,1,"Condo",400,"No"
"1322",3350,215,3,1,"Apartment",1000,"No"
"1324",1500,215,2,2,"Condo",900,"No"
"1327",1700,215,1,1,"Basement",900,"No"
"1332",2700,215,3,1,"Apartment",750,"No"
"1342",1600,215,0,1,"Basement",500,"Limited"
"1345",2195,215,1,1,"Apartment",500,"No"
"1347",900,215,0,1,"Apartment",1,"Yes"
"1348",1800,215,1,1,"Basement",800,"No"
"1349",2463,215,1,1,"Apartment",639,"Yes"
"1350",2878,215,2,1,"Apartment",935,"No"
"1351",2900,215,1,1.5,"Apartment",700,"No"
"1352",2930,215,3,1,"Apartment",1250,"Yes"
"1353",1874,215,0,1,"Apartment",228,"Limited"
"1354",1995,215,1,1,"Apartment",700,"Yes"
"1355",3324,215,3,1.5,"Apartment",1157,"No"
"1356",2350,215,1,1,"Apartment",557,"Yes"
"1357",725,210,1,1,"Apartment",558,"Limited"
"1358",2500,215,1,1,"Apartment",589,"Yes"
"1361",1900,215,1,1,"Apartment",800,"Limited"
"1365",3000,215,3,2,"Basement",899,"No"
"1366",1997,215,0,1,"Apartment",352,"No"
"1368",2500,215,2,1,"Apartment",600,"Limited"
"1372",975,215,1,1,"Basement",500,"No"
"1373",2300,215,2,1,"Basement",1300,"No"
"1374",1800,215,2,1,"Basement",850,"No"
"1375",2649,215,1,1,"Apartment",884,"Yes"
"1382",2809,219,2,1,"Apartment",795,"Yes"
"1385",3000,215,3,1.5,"House",1000,"No"
"1388",1998,215,2,1,"Basement",700,"No"
"1390",2750,215,2,1,"Apartment",800,"Limited"
"1391",2089,215,0,1,"Apartment",390,"Yes"
"1393",2400,215,1,1,"Apartment",571,"Yes"
"1394",2550,215,1,1,"Apartment",540,"Yes"
"1395",3200,215,2,1,"Apartment",751,"Yes"
"1396",3500,215,2,2,"Apartment",891,"Yes"
"1397",2225,215,0,1,"Apartment",360,"Yes"
"1398",3400,215,2,2.5,"Apartment",893,"Yes"
"1399",1999,215,0,1,"Apartment",428,"Yes"
"1400",2199,215,1,1,"Apartment",591,"Yes"
"1403",1550,215,0,1,"Basement",300,"No"
"1407",2500,216,2,1,"Basement",1000,"Limited"
"1408",1850,216,1,1,"Apartment",600,"Limited"
"1410",1950,216,2,1,"Basement",1100,"No"
"1412",1500,216,0,1,"Basement",800,"No"
"1413",1500,216,1,1,"Basement",300,"No"
"1415",1750,216,1,1,"Basement",500,"No"
"1416",1050,216,1,1,"Basement",400,"No"
"1418",2650,216,2,2,"Condo",950,"No"
"1419",1959,216,1,1,"Apartment",491,"Limited"
"1423",1445,216,3,1,"Apartment",1,"Yes"
"1424",2200,216,2,1,"Basement",800,"No"
"1427",2279,210,1,1,"Apartment",629,"Yes"
"1428",2819,221,2,1,"Apartment",904,"Yes"
"1429",3070,220,2,1,"Apartment",861,"Yes"
"1430",2229,210,1,1,"Apartment",640,"Yes"
"1433",750,216,2,1.5,"Apartment",1000,"No"
"1434",2600,216,2,1,"Apartment",700,"Limited"
"1445",2900,216,2,1,"Apartment",700,"Yes"
"1446",2800,216,3,1,"Apartment",1200,"No"
"1450",2075,216,0,1,"Apartment",550,"No"
"1452",2000,216,1,1,"Basement",680,"Yes"
"1453",1800,216,1,1,"Basement",750,"No"
"1454",1850,216,1,1,"Apartment",500,"No"
"1455",2456,216,1,1,"Apartment",666,"No"
"1456",2962,216,2,1,"Apartment",847,"No"
"1457",1965,216,0,1,"Apartment",429,"No"
"1459",1943,216,0,1,"Apartment",376,"No"
"1460",2195,216,1,1,"Apartment",628,"No"
"1461",2125,216,1,1,"Apartment",617,"No"
"1462",3097,216,2,1,"Apartment",806,"No"
"1463",2311,216,1,1,"Apartment",705,"No"
"1464",2061,216,0,1,"Apartment",482,"No"
"1465",3402,216,2,1.5,"Apartment",1015,"No"
"1466",2381,216,1,1,"Apartment",667,"No"
"1467",2199,216,1,1,"Apartment",524,"No"
"1468",2207,216,1,1,"Apartment",621,"No"
"1469",2399,216,1,1,"Apartment",685,"No"
"1470",1800,216,1,1,"Apartment",700,"No"
"1471",2500,241,2,1,"Apartment",1,"Limited"
"1474",1895,210,1,1,"Apartment",470,"Limited"
"1477",1981,216,0,1,"Apartment",390,"No"
"1478",1750,216,0,1,"Apartment",390,"Yes"
"1479",2239,216,1,1,"Apartment",653,"No"
"1480",2778,216,2,1,"Apartment",943,"No"
"1481",2016,216,1,1,"Apartment",525,"No"
"1482",2774,216,2,1,"Apartment",865,"No"
"1483",2369,216,1,1,"Apartment",689,"No"
"1484",2611,216,1,1,"Apartment",624,"No"
"1485",2251,216,1,1,"Apartment",651,"No"
"1486",1725,216,0,1,"Apartment",410,"Yes"
"1487",2253,216,1,1,"Apartment",603,"No"
"1488",2366,216,1,1,"Apartment",749,"No"
"1489",2814,216,2,1,"Apartment",931,"No"
"1490",2121,216,1,1,"Apartment",655,"No"
"1492",1850,216,1,1,"Apartment",800,"No"
"1493",2815,216,2,1,"Apartment",940,"Yes"
"1494",2434,216,1,1,"Apartment",694,"No"
"1495",2252,216,1,1,"Apartment",560,"No"
"1496",2076,216,0,1,"Apartment",549,"No"
"1497",3138,216,3,1.5,"Apartment",1332,"No"
"1498",2277,216,1,1,"Apartment",493,"No"
"1499",2719,216,2,1,"Apartment",805,"No"
"1500",2369,216,1,1,"Apartment",639,"No"
"1501",1893,216,0,1,"Apartment",456,"No"
"1507",2625,216,2,1,"Apartment",1000,"Yes"
"1515",2400,216,1,1,"Apartment",500,"Yes"
"1518",2285,210,1,1,"Apartment",625,"Yes"
"1520",2400,222,2,1,"Apartment",833,"Yes"
"1521",2429,225,1,1,"Apartment",742,"Limited"
"1531",2400,216,1,1,"Apartment",596,"Yes"
"1532",2100,216,0,1,"Apartment",500,"Yes"
"1533",1895,216,0,1,"Apartment",500,"Yes"
"1534",3300,216,1,1,"Apartment",608,"Yes"
"1535",2400,216,1,1,"Apartment",550,"Yes"
"1536",2300,216,0,1,"Apartment",500,"Yes"
"1537",1950,216,0,1,"Apartment",500,"Yes"
"1538",2200,216,0,1,"Apartment",500,"Yes"
"1539",2800,216,2,1,"Apartment",896,"Yes"
"1540",2150,216,0,1,"Apartment",500,"Yes"
"1541",2400,216,1,1,"Apartment",590,"Yes"
"1542",2100,216,0,1,"Apartment",500,"Yes"
"1543",2475,216,1,1,"Apartment",742,"Yes"
"1545",2000,216,1,1,"Apartment",500,"Yes"
"1546",2100,216,0,1,"Apartment",500,"Yes"
"1547",3600,216,3,2,"Apartment",1207,"Yes"
"1548",2100,216,0,1,"Apartment",500,"Yes"
"1549",2300,216,0,1,"Apartment",500,"Yes"
"1551",2150,216,0,1,"Apartment",500,"Yes"
"1552",2200,216,0,1,"Apartment",500,"Yes"
"1553",2600,216,2,1,"Apartment",896,"Yes"
"1557",3000,216,2,1,"Condo",735,"Limited"
"1558",1350,216,0,1,"Basement",700,"Limited"
"1559",2400,216,1,1,"Apartment",550,"Limited"
"1562",2100,216,1,1,"Apartment",900,"Limited"
"1565",2899,220,2,1,"Apartment",950,"Yes"
"1566",2975,213,2,1,"Apartment",850,"Yes"
"1567",2000,217,0,1,"Apartment",460,"Yes"
"1568",1895,210,1,1,"Apartment",470,"Limited"
"1571",1600,216,0,1,"Apartment",700,"Yes"
"1572",1750,216,1,1,"Basement",550,"Limited"
"1573",1650,216,1,1,"Apartment",650,"No"
"1575",1849,216,1,1,"Apartment",550,"Yes"
"1576",1850,216,0,1,"Apartment",400,"Yes"
"1580",1475,216,0,1,"Apartment",200,"Limited"
"1582",1990,216,1,1,"Apartment",600,"Limited"
"1583",2680,216,2,1,"Condo",1100,"Limited"
"1585",2200,216,2,1.5,"Basement",1400,"No"
"1587",1650,216,0,1.5,"Basement",1,"Limited"
"1588",1800,216,0,1,"Apartment",800,"No"
"1591",1846,216,0,1,"Apartment",372,"Yes"
"1592",2600,216,1,1,"Apartment",644,"Yes"
"1593",2300,216,0,1,"Apartment",500,"Yes"
"1594",2784,216,1,1,"Apartment",700,"Yes"
"1595",2384,216,1,1,"Apartment",700,"Yes"
"1597",1550,217,1,1,"Basement",850,"No"
"1598",1550,217,1,1,"Basement",850,"No"
"1601",1250,217,0,1,"Basement",500,"No"
"1604",2800,217,3,1,"Basement",1265,"Yes"
"1606",2800,217,2,1,"Apartment",1200,"Yes"
"1607",1400,217,1,1,"Apartment",1110,"No"
"1609",2819,228,1,1,"Apartment",689,"Yes"
"1610",2279,229,1,1,"Apartment",706,"Yes"
"1611",2925,221,2,1,"Apartment",830,"Yes"
"1612",2000,217,0,1,"Apartment",460,"Yes"
"1615",3500,217,2,2,"Condo",820,"Limited"
"1616",2200,217,2,1.5,"Basement",1400,"No"
"1619",1800,217,2,1,"Basement",750,"No"
"1620",2200,217,1,1,"Duplex/Triplex",681,"Yes"
"1623",2480,217,2,1,"Basement",750,"No"
"1624",1500,217,0,1,"Apartment",300,"Limited"
"1625",1750,217,1,1,"Apartment",550,"Yes"
"1628",2550,217,2,1,"Basement",1150,"Limited"
"1633",3190,217,2,1,"Apartment",1200,"Yes"
"1634",1650,217,1,1,"Condo",800,"No"
"1637",1900,217,2,1,"Apartment",500,"Yes"
"1639",2900,217,2,1,"House",750,"No"
"1641",2150,217,1,1,"Condo",580,"Yes"
"1643",2500,217,2,1,"Apartment",860,"Limited"
"1645",3425,217,1,1,"Apartment",539,"Yes"
"1647",2050,217,1,1,"Apartment",478,"Yes"
"1649",2200,217,1,1,"Apartment",694,"Yes"
